# time  ID  size  fromHost  toHost  TTL  isResponse
11745.0000 MF19 1000 bcon_F5 c156 30 N 
12242.0000 MD20 1000 bcon_D3 c179 30 N 
12250.0000 MH20 1000 bcon_H7 c176 30 N 
12268.0000 MA20 1000 bcon_A0 c123 30 N 
12271.0000 MB20 1000 bcon_B1 c66 30 N 
12272.0000 MG20 1000 bcon_G6 c33 30 N 
12299.0000 MJ20 1000 bcon_J9 c36 30 N 
12300.0000 MI20 1000 bcon_I8 c93 30 N 
12322.0000 MC20 1000 bcon_C2 c36 30 N 
12346.0000 ME20 1000 bcon_E4 c119 30 N 
12356.0000 MF20 1000 bcon_F5 c63 30 N 
12850.0000 MH21 1000 bcon_H7 c62 30 N 
12866.0000 MD21 1000 bcon_D3 c180 30 N 
12875.0000 MA21 1000 bcon_A0 c145 30 N 
12883.0000 MB21 1000 bcon_B1 c110 30 N 
12889.0000 MG21 1000 bcon_G6 c98 30 N 
12904.0000 MI21 1000 bcon_I8 c108 30 N 
12908.0000 MJ21 1000 bcon_J9 c73 30 N 
12941.0000 MC21 1000 bcon_C2 c17 30 N 
12952.0000 ME21 1000 bcon_E4 c27 30 N 
12967.0000 MF21 1000 bcon_F5 c191 30 N 
13460.0000 MH22 1000 bcon_H7 c47 30 N 
13483.0000 MD22 1000 bcon_D3 c70 30 N 
13486.0000 MA22 1000 bcon_A0 c20 30 N 
13496.0000 MB22 1000 bcon_B1 c169 30 N 
13504.0000 MG22 1000 bcon_G6 c120 30 N 
13515.0000 MJ22 1000 bcon_J9 c145 30 N 
13517.0000 MI22 1000 bcon_I8 c195 30 N 
13556.0000 MC22 1000 bcon_C2 c120 30 N 
13564.0000 ME22 1000 bcon_E4 c196 30 N 
13581.0000 MF22 1000 bcon_F5 c146 30 N 
14063.0000 MH23 1000 bcon_H7 c205 30 N 
14092.0000 MD23 1000 bcon_D3 c38 30 N 
14103.0000 MA23 1000 bcon_A0 c179 30 N 
14107.0000 MG23 1000 bcon_G6 c64 30 N 
14121.0000 MB23 1000 bcon_B1 c121 30 N 
14121.0000 MI23 1000 bcon_I8 c139 30 N 
14127.0000 MJ23 1000 bcon_J9 c81 30 N 
14166.0000 MC23 1000 bcon_C2 c95 30 N 
14175.0000 ME23 1000 bcon_E4 c170 30 N 
14199.0000 MF23 1000 bcon_F5 c113 30 N 
14687.0000 MH24 1000 bcon_H7 c13 30 N 
14694.0000 MD24 1000 bcon_D3 c98 30 N 
14723.0000 MB24 1000 bcon_B1 c166 30 N 
14731.0000 MA24 1000 bcon_A0 c132 30 N 
14733.0000 MI24 1000 bcon_I8 c116 30 N 
14735.0000 MG24 1000 bcon_G6 c178 30 N 
14735.0000 MJ24 1000 bcon_J9 c150 30 N 
14772.0000 MC24 1000 bcon_C2 c86 30 N 
14795.0000 ME24 1000 bcon_E4 c25 30 N 
14823.0000 MF24 1000 bcon_F5 c59 30 N 
15307.0000 MH25 1000 bcon_H7 c115 30 N 
15323.0000 MD25 1000 bcon_D3 c100 30 N 
15337.0000 MB25 1000 bcon_B1 c119 30 N 
15337.0000 MG25 1000 bcon_G6 c18 30 N 
15344.0000 MJ25 1000 bcon_J9 c149 30 N 
15354.0000 MI25 1000 bcon_I8 c52 30 N 
15357.0000 MA25 1000 bcon_A0 c198 30 N 
15383.0000 MC25 1000 bcon_C2 c202 30 N 
15403.0000 ME25 1000 bcon_E4 c14 30 N 
15449.0000 MF25 1000 bcon_F5 c134 30 N 
15910.0000 MH26 1000 bcon_H7 c69 30 N 
15923.0000 MD26 1000 bcon_D3 c26 30 N 
15949.0000 MB26 1000 bcon_B1 c47 30 N 
15959.0000 MG26 1000 bcon_G6 c58 30 N 
15962.0000 MI26 1000 bcon_I8 c146 30 N 
15962.0000 MJ26 1000 bcon_J9 c157 30 N 
15967.0000 MA26 1000 bcon_A0 c36 30 N 
16002.0000 MC26 1000 bcon_C2 c15 30 N 
16008.0000 ME26 1000 bcon_E4 c80 30 N 
16064.0000 MF26 1000 bcon_F5 c91 30 N 
16529.0000 MH27 1000 bcon_H7 c201 30 N 
16546.0000 MD27 1000 bcon_D3 c200 30 N 
16570.0000 MB27 1000 bcon_B1 c101 30 N 
16576.0000 MJ27 1000 bcon_J9 c125 30 N 
16577.0000 MI27 1000 bcon_I8 c64 30 N 
16579.0000 MG27 1000 bcon_G6 c162 30 N 
16589.0000 MA27 1000 bcon_A0 c39 30 N 
16626.0000 MC27 1000 bcon_C2 c139 30 N 
16627.0000 ME27 1000 bcon_E4 c63 30 N 
16682.0000 MF27 1000 bcon_F5 c101 30 N 
17149.0000 MH28 1000 bcon_H7 c17 30 N 
17171.0000 MD28 1000 bcon_D3 c138 30 N 
17180.0000 MJ28 1000 bcon_J9 c69 30 N 
17181.0000 MG28 1000 bcon_G6 c152 30 N 
17192.0000 MB28 1000 bcon_B1 c89 30 N 
17193.0000 MI28 1000 bcon_I8 c182 30 N 
17202.0000 MA28 1000 bcon_A0 c201 30 N 
17241.0000 MC28 1000 bcon_C2 c74 30 N 
17256.0000 ME28 1000 bcon_E4 c103 30 N 
17291.0000 MF28 1000 bcon_F5 c167 30 N 
17752.0000 MH29 1000 bcon_H7 c83 30 N 
17783.0000 MD29 1000 bcon_D3 c137 30 N 
17783.0000 MG29 1000 bcon_G6 c41 30 N 
17785.0000 MJ29 1000 bcon_J9 c65 30 N 
17797.0000 MI29 1000 bcon_I8 c47 30 N 
17815.0000 MA29 1000 bcon_A0 c179 30 N 
17815.0000 MB29 1000 bcon_B1 c22 30 N 
17844.0000 MC29 1000 bcon_C2 c118 30 N 
17868.0000 ME29 1000 bcon_E4 c101 30 N 
17905.0000 MF29 1000 bcon_F5 c143 30 N 
